name,url,tag,description
dotnetrocks,http://www.dotnetrocks.com,developers,"Full Stack Radio is a podcast for developers interested in building great software products."
nodeup,http://nodeup.com,javascript,"A nodejs podcast"
javascript jabber,http://javascriptjabber.com,web,"A weekly podcast about JavaScript, including Node.js, Front-End Technologies, Careers, Teams and more."
hanselminutes,http://hanselminutes.com,developers,"Fresh Air for Developers."
giantrobots,http://giantrobots.fm,developers,"The Giant Robots Smashing into Other Giant Robots podcast is a weekly technical podcast discussing development, design, and the business of great products."
shoptalkshow,http://shoptalkshow.com,web,"An internet radio show about the internet with sound effects."
chariotsolutions,http://techcast.chariotsolutions.com,developers,"Enterprise software development news and tech."
risky-business,http://risky.biz/netcasts/risky-business,security,"Take a lighthearted look at information security news and features!"
software engineering radio,http://www.se-radio.net,programming,"Software Engineering Radio is a podcast targeted at the professional software developer."
freshtilledsoil,http://www.freshtilledsoil.com/blog,ux,"User experience is more than what’s behind the glass."
thechangelog,http://thechangelog.com/podcast,developers,"Open Source moves fast. Keep up."
redhat,http://asylum.libsyn.com,java,"Jboss community podcast"
gitminutes,http://www.gitminutes.com,git,"The show for proficient Git users. Stories, discussions, ideas, demos and other things useful for those using Git today."
cognitect,http://blog.cognitect.com/cognicast,clojure,"The cloud information company featuring Clojure, Datomic."
thewebplatform,http://thewebplatform.libsyn.com,web,"The Web Platform Podcast is a developer discussion that dives deep into ‘all things’ web."
turing cool,http://turing.cool,programming,"A Podcast About Programming."
word break,http://word-break.com,web,"A podcast dedicated to front-end development"
programming throwdown,http://www.programmingthrowdown.com,programming,"Programming Throwdown attempt to educate Computer Scientists and Software Engineers on a cavalcade of programming and tech topics."
ruby rogues,http://rubyrogues.com,ruby,"Ruby Rogues is a weekly panel discussion about programming."
hello world,http://wildermuth.com/hwpod,programming,"Where we learn about how your favorite developers tell their story of how they got started writing software."
test talks,http://joecolantonio.com/testtalks,testing,"TestTalks is a weekly podcast hosted by Joe Colantonio, which geeks out on all things software test automation."
entreprogrammers,http://entreprogrammers.com/category/podcast,programming,"The podcast for developerneurs."
getupandcode,http://getupandcode.com/category/podcast,programming,"Get Up and Code is a podcast about fitness for programmers and software developers."
codenewbie,http://www.codenewbie.org/podcast,programming,"Stories from people on their coding journey."
wideteams,http://www.wideteams.com/episode-guide,programming,"A weekly podcast featuring interviews with people who are making dispersed teams work day by day."
codewinds,http://codewinds.com/podcast.html,web,"Leading edge web developer news and training with javascript, React.js, Node.js, and HTML5."
hackathonmaven,https://soundcloud.com/hackathonmaven,programming,"Developer community, hackathons, and developer evangelism."
howtoholdapencil,http://howtoholdapencil.com,programming,"How to Hold a Pencil is a podcast about learning web development and design."
meteorpodcast,http://www.meteorpodcast.com,meteorjs,"A podcast about the meteor.js framework."
fullstackradio,http://fullstackradio.com,programming,""
kalzumeus,http://www.kalzumeus.com/category/podcasts,software,""
lullabot,https://www.lullabot.com/blog/podcasts,web,""
healthyhacker,http://www.healthyhacker.com,developers,""
developertea,https://www.developertea.com,programming,""
architecturecast,http://www.architecturecast.net,software,""
techzinglive,http://techzinglive.com,software,""
designdetails,http://www.designdetails.fm,design,""
looselycoupled,http://looselycoupled.info,programming,""
motherboardpodcast,http://www.motherboardpodcast.com,developers,""
lescastcodeurs,http://lescastcodeurs.com,développeurs,""
responsivewebdesign,http://responsivewebdesign.com/podcast,web,""
styleguides,http://styleguides.io/podcast/index.html,web,""
pushpull,http://pushpull.me,web,""
upup,http://www.upup.fm,programming,"The podcast that takes a critical look at the craft of making games."
betweenscreens,http://betweenscreens.fm,developers,""
gonemobile,http://gonemobile.io,web,""
fragmented,http://fragmentedpodcast.com,android,""
bitly,http://techpodcast.bitly.com,programming,""
typetheory podcast,http://typetheorypodcast.com,programming,""
runasradio,http://www.runasradio.com,microsoft,""
web-monkey,https://soundcloud.com/whyisjake/web-monkey-podcast-episode-1,web,""
path to performance,http://pathtoperf.com,web,""
talkingcode,http://www.talkingcode.com,developers,""
thecloudcast,http://www.thecloudcast.net,cloud,""
functionalgeekery,http://www.functionalgeekery.com,programming,""
typesafe,https://soundcloud.com/typesafe,reactive,""
ttlpodcast,http://ttlpodcast.com,web,""
devopscafe,http://devopscafe.org,devops,""
bikeshed,http://bikeshed.fm,thoughtbot,""
emberweekend,https://emberweekend.com/episodes,emberjs,""
descriptive,http://descriptive.audio,programming,""
slack,https://slack.com/varietypack,developers,""
react podcast,http://reactpodcast.com,reactjs,""
podcast init,http://www.podcastinit.com,python,""
talk python to me,http://www.talkpythontome.com/episodes/all,python,""
nodogma,http://nodogmapodcast.bryanhogan.net,programming,""
devhell,http://devhell.info,developers,""
geek whisperers,http://geek-whisperers.com/all-episodes,developers,""
five minutes of js,https://fivejs.codeschool.com,javascript,""
tentative,http://tentative.fm,thoughtbot,""
lady loves code,http://www.ladylovescode.com/category/podcast/,developers,""
theory and craft,http://www.theoryandcraft.fm/,programming,""
rusty radio,http://rustyrad.io/podcast/1/,rust,""
reactive,http://reactive.audio/,web,""
threedevsandamaybe,http://threedevsandamaybe.com,developers,""
creative coding podcast, http://creativecodingpodcast.com,programming,"Iain and Seb discuss the ins-and-outs of programming for creative applications."
codepen,http://blog.codepen.io/radio,web,"Co-founders of CodePen talk about the ins and outs of running a web software business."
